tree_id,split,n_dets,pass_geometric_mean_blend,pass_floor_clamped_hybrid,pass_visibility,pass_side_coverage,pass_adaptive_corrected,pass_median3_floor,pass_density_scaled_vis,n_methods_pass,any_pass,all_pass
DAMIMAS_A21B_0067,train,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0068,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0069,train,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0070,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0071,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0072,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0073,test,17,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0074,train,4,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0075,train,31,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0076,test,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0077,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0078,train,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0079,train,26,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0080,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0081,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0082,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0083,train,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0084,train,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0085,train,28,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0086,train,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0087,train,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0088,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0089,test,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0090,train,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0091,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0092,test,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0093,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0094,test,27,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0095,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0096,test,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0097,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0098,train,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0099,train,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0100,val,27,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0101,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0102,train,18,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0103,val,29,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0104,train,27,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0105,train,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0106,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0107,val,31,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0108,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0109,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0110,train,8,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0111,train,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0112,train,12,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0113,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0114,train,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0115,train,5,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0116,val,25,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0117,val,8,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0118,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0119,train,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0120,train,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0121,train,21,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0122,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0123,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0124,train,20,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0125,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0126,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0127,train,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0128,train,17,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0129,train,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0130,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0131,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0132,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0133,train,21,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0134,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0135,train,22,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0136,train,22,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0137,train,20,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0138,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0139,train,20,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0140,train,27,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0141,train,22,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0142,train,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0143,train,19,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0144,val,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0145,val,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0146,val,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0147,val,26,0,0,1,1,0,1,1,4,1,0
DAMIMAS_A21B_0148,val,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0149,val,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0150,val,27,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0151,val,23,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0152,val,24,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0153,val,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0154,val,26,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0155,val,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0156,val,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0157,val,26,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0158,val,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0159,val,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0160,val,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0161,val,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0162,val,18,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0163,val,32,0,0,1,1,0,1,1,4,1,0
DAMIMAS_A21B_0164,val,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0165,val,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0166,val,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0167,val,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0168,val,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0169,val,29,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0170,val,26,0,0,1,1,0,1,1,4,1,0
DAMIMAS_A21B_0171,val,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0172,val,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0173,val,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0174,val,28,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0175,val,23,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0176,val,19,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0177,val,24,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0178,val,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0179,val,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0180,val,24,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0181,val,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0182,val,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0183,val,27,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0184,val,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0185,val,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0186,val,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0187,val,6,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0188,val,12,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0189,val,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0190,val,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0191,val,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0192,val,12,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0193,val,27,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0194,test,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0195,test,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0196,test,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0197,test,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0198,test,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0199,test,21,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0200,test,12,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0201,test,21,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0202,test,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0203,test,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0204,test,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0205,test,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0206,test,21,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0207,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0208,test,22,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0209,test,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0210,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0211,test,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0212,test,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0213,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0214,test,20,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0215,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0216,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0217,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0218,test,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0219,test,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0220,test,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0221,test,25,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0222,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0223,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0224,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0225,test,12,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0226,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0227,test,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0228,test,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0229,test,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0230,train,0,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0231,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0232,test,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0233,test,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0234,test,15,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0235,test,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0236,test,26,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0237,test,20,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0238,test,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0239,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0240,train,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0241,val,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0242,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0243,val,22,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0244,train,15,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0245,train,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0246,test,22,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0247,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0248,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0249,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0250,test,30,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0251,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0252,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0253,train,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0254,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0255,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0256,train,3,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0257,train,18,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0258,train,17,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0259,train,18,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0260,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0261,train,27,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0262,train,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0263,val,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0264,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0265,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0266,train,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0267,train,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0268,train,28,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0269,train,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0270,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0271,test,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0272,val,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0273,train,16,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0274,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0275,test,26,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0276,train,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0277,val,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0278,val,20,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0279,test,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0280,test,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0281,train,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0282,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0283,val,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0284,test,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0285,train,32,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0286,train,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0287,train,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0288,test,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0289,val,14,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0290,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0291,train,23,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0292,train,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0293,train,18,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0294,test,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0295,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0296,test,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0297,train,17,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0298,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0299,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0300,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0301,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0302,test,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0303,train,21,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0304,test,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0305,train,25,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0306,train,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0307,train,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0308,val,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0309,train,18,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0310,train,20,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0311,val,9,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0312,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0313,train,23,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0314,train,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0315,train,25,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0316,train,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0317,train,14,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0318,train,19,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0319,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0320,train,24,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0321,test,21,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0322,train,0,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0323,test,13,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0324,train,14,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0325,test,17,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0326,train,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0327,train,12,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0328,train,15,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0329,train,8,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0330,val,22,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0331,test,15,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0332,train,11,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0333,train,8,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0334,train,21,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0335,train,13,1,0,0,0,1,0,0,2,1,0
DAMIMAS_A21B_0336,train,22,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0337,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0338,val,19,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0339,train,13,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0340,train,7,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0341,train,21,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0342,val,25,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0343,train,18,0,0,0,0,0,0,0,0,0,0
DAMIMAS_A21B_0344,val,21,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0345,train,16,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0346,test,23,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0347,train,18,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0348,test,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0349,val,9,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0350,train,10,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0351,train,24,1,1,1,1,1,1,1,7,1,1
DAMIMAS_A21B_0352,train,25,1,1,1,1,0,1,1,6,1,0
DAMIMAS_A21B_0353,train,18,1,1,1,1,0,1,1,6,1,0
